break_date,is_chatgpt,pre_median,post_median,effect_pct,p_value,significant,its_slope_pre,its_slope_change,its_slope_post,its_slope_change_p_hac,its_n_pre,its_n_post,its_r_squared,language
2022-11-01,True,50.0,67.0,34.0,1.1735573249505416e-09,True,0.21544171265005724,0.13492484824282253,0.35036656089287976,0.6138608509627022,82,38,0.4105955680870772,english
2020-03-01,False,49.0,61.0,24.489795918367346,6.664839134825398e-10,True,0.03082833133253438,0.2893361337186421,0.32016446505117646,0.005918552786347925,50,70,0.43601075309745374,english
2021-01-01,False,49.0,62.5,27.55102040816326,1.114999520019279e-11,True,0.09127535426502792,0.2178660739094672,0.3091414281744951,0.11819605963758885,60,60,0.43053584263716227,english
2021-06-01,False,49.0,65.0,32.6530612244898,3.2345734331998325e-12,True,0.09825174825172898,0.17988677988680046,0.27813852813852946,0.2555050584022375,65,55,0.4334699967902682,english
2022-01-01,False,49.0,67.0,36.734693877551024,4.309938666503151e-14,True,0.09288378673868884,0.039009396066348026,0.13189318280503687,0.839618773049639,72,48,0.4603368031689854,english
2022-10-01,False,50.0,67.0,34.0,3.5550946291251035e-10,True,0.20560072267389023,0.10269887246780975,0.30829959514169997,0.6951835159233404,81,39,0.41110466233625176,english
2022-12-01,False,50.0,67.0,34.0,2.906664667802476e-09,True,0.22096049704042708,0.15907743562909055,0.38003793266951763,0.5640128994191206,83,37,0.4110234040342675,english
2023-01-01,False,50.0,67.0,34.0,2.4170217227893343e-09,True,0.21582464311025412,0.14015991287430368,0.3559845559845578,0.6405746690009139,84,36,0.4106879070296552,english
2023-06-01,False,50.0,66.0,32.0,4.0337237580101124e-07,True,0.2501021450459687,0.4628010807604883,0.712903225806457,0.10732701950028009,89,31,0.43280908413099695,english
2022-11-01,True,20.0,36.5,82.5,2.8435300758598047e-12,True,0.2806891522730588,0.9020441883550332,1.182733340628092,6.957723107421388e-07,82,38,0.6676304619220401,german
2020-03-01,False,17.5,30.0,71.42857142857143,1.361196498814856e-13,True,0.24278511404561806,0.26962849806180894,0.512413612107427,0.04195797479854687,50,70,0.5936242422994353,german
2021-01-01,False,19.0,32.5,71.05263157894737,8.13332327138441e-14,True,0.26854681856070717,0.3296193387051978,0.5981661572659049,0.03583412365869532,60,60,0.6037380846712093,german
2021-06-01,False,19.0,33.0,73.68421052631578,7.497251942325613e-13,True,0.2965472027971995,0.3971035908535895,0.693650793650789,0.02978648984582203,65,55,0.6173692334435976,german
2022-01-01,False,20.0,33.0,65.0,5.835600586060884e-12,True,0.3083638819216709,0.547584880562054,0.855948762483725,0.010851869200021267,72,48,0.6376800545491956,german
2022-10-01,False,20.0,36.0,80.0,9.666861215518708e-12,True,0.28988256549231733,0.8856235073821686,1.175506072874486,3.821141408386661e-07,81,39,0.6705059463463741,german
2022-12-01,False,20.0,37.0,85.0,1.533636491383286e-12,True,0.2744846983753998,0.9248988957450659,1.1993835941204658,8.206186816117073e-07,83,37,0.6666472478122527,german
2023-01-01,False,20.0,37.5,87.5,2.7199103779465232e-12,True,0.27520502176774,0.9761463295836177,1.2513513513513577,1.468274920563053e-07,84,36,0.6704349610509929,german
2023-06-01,False,21.0,41.0,95.23809523809523,5.980977535696502e-13,True,0.2568947906026642,1.1322181126231543,1.3891129032258185,3.018384767558978e-07,89,31,0.6725076628965245,german
2022-11-01,True,38.5,52.5,36.36363636363637,1.6697615880895003e-08,True,0.09344695856597234,0.3683103452965995,0.46175730386257186,0.22952632848526033,82,38,0.2978381656973036,french
2020-03-01,False,36.0,48.0,33.33333333333333,4.7430932638070087e-07,True,-0.12667466986794626,0.5183814321809546,0.39170676231300827,5.359018020572327e-05,50,70,0.31909533565078907,french
2021-01-01,False,36.0,50.0,38.88888888888889,5.288318777094962e-08,True,-0.02859127535429932,0.4281189219227902,0.3995276465684909,0.012780384718937865,60,60,0.308576562172296,french
2021-06-01,False,37.0,50.0,35.13513513513514,1.814733227639302e-07,True,0.03911713286711788,0.42480783105784325,0.46392496392496113,0.022023206589634945,65,55,0.3039386460862782,french
2022-01-01,False,37.0,52.0,40.54054054054054,5.822803094013219e-09,True,0.028860376873106927,0.34299155538916315,0.3718519322622701,0.14954635912905936,72,48,0.3070267083968331,french
2022-10-01,False,38.0,53.0,39.473684210526315,5.77175031077881e-09,True,0.07838753387533562,0.3382116564080626,0.4165991902833982,0.25366489864565356,81,39,0.30283325373566783,french
2022-12-01,False,39.0,52.0,33.33333333333333,6.815113766167275e-08,True,0.11682968809034575,0.44528505823493875,0.5621147463252845,0.1298104514548357,83,37,0.2929259322961223,french
2023-01-01,False,39.0,52.5,34.61538461538461,1.318646868973999e-07,True,0.12335729472511642,0.46840589703807745,0.5917631917631938,0.12309264300261324,84,36,0.29246215958311894,french
2023-06-01,False,40.0,53.0,32.5,5.06106626998666e-06,True,0.15871637725570817,0.7437029775830095,0.9024193548387177,0.058020435766397364,89,31,0.3007856963513259,french
2022-11-01,True,19.0,56.0,194.73684210526315,7.0596451153959e-13,True,0.5374234063625829,0.4095073300418456,0.9469307364044285,0.06649103518125003,82,38,0.7614432968325212,spanish
2020-03-01,False,16.0,49.0,206.25,7.932271918378108e-21,True,0.12326530612244924,0.4065571066148441,0.5298224127372934,0.00031365078484834995,50,70,0.7831047966775377,spanish
2021-01-01,False,16.5,51.0,209.0909090909091,1.900695441199355e-18,True,0.3907196443456442,0.1949152542372954,0.5856348985829396,0.2907676684723657,60,60,0.7556348923684331,spanish
2021-06-01,False,17.0,53.0,211.76470588235296,1.0016893819194188e-17,True,0.4331293706293673,0.16730352980353247,0.6004329004328998,0.36002247273501853,65,55,0.753240064257543,spanish
2022-01-01,False,18.0,55.5,208.33333333333334,2.9985197677259995e-17,True,0.44276159238536195,0.124161985556454,0.5669235779418159,0.5797879149136526,72,48,0.7538960311118863,spanish
2022-10-01,False,19.0,56.0,194.73684210526315,2.0791740432756993e-13,True,0.5291553748870801,0.34877984778498106,0.8779352226720611,0.12631000873413795,81,39,0.757762789539175,spanish
2022-12-01,False,19.0,56.0,194.73684210526315,1.587884720004778e-12,True,0.5394819696906183,0.4569618425426839,0.9964438122333023,0.045021360020051825,83,37,0.7637444594727851,spanish
2023-01-01,False,19.0,57.0,200.0,8.443034310415983e-13,True,0.5207755391313139,0.41487439651862457,0.9356499356499385,0.0918511350276973,84,36,0.7585617946581467,spanish
2023-06-01,False,21.0,60.0,185.71428571428572,3.0645903369053835e-11,True,0.5255362614913236,0.6543024481861034,1.179838709677427,0.007001297898486966,89,31,0.7657771308092866,spanish
